word	cluster
location	Geographic Concepts
city	Geographic Concepts
region	Geographic Concepts
country	Geographic Concepts
continent	Geographic Concepts
province	Geographic Concepts
coordinates	Geographic Concepts
geography	Geographic Concepts
timezone	Geographic Concepts
state	Geographic Concepts
landmark	Geographic Concepts
territory	Geographic Concepts
address	Private/Personal Information
street_number	Private/Personal Information
home_address	Private/Personal Information
zip_code	Private/Personal Information
phone_number	Private/Personal Information
email	Private/Personal Information
SSN	Private/Personal Information
passport	Private/Personal Information
IP_address	Private/Personal Information
user_id	Private/Personal Information
social_handle	Private/Personal Information
place	Bridge Words
map	Bridge Words
postal_code	Bridge Words
directions	Bridge Words
residence	Bridge Words
destination	Bridge Words
location_data	Bridge Words
geotag	Bridge Words
route	Bridge Words
vicinity	Bridge Words
neighborhood	Bridge Words
area	Bridge Words
